tissue,image_id,energy_orig,energy_norm,point_orig,point_norm,iou_orig,iou_norm
Breast,img_Breast_1_00598.png,0.5721963976333344,0.7608459845985215,0.0,0.0,0.0010312405216238252,0.16774156062008358
Breast,img_Breast_1_00423.png,0.6360462480714101,0.14201186958267786,1.0,0.0,0.015834149524023153,0.00046583850924443497
Breast,img_Breast_1_00445.png,0.1018576821696601,0.011979532986043682,0.0,0.0,0.0,0.0
Breast,img_Breast_1_00251.png,0.6332478345579116,0.4575267941035992,1.0,0.0,0.07116925387636647,0.026991234153560494
Breast,img_Breast_1_00693.png,0.5025864415262933,0.38235673532021414,1.0,0.0,0.05861221402357608,0.20524948987152203
Breast,img_Breast_2_00054.png,0.8766937000259393,0.5007063671095955,1.0,0.0,0.016687952318715372,0.007207509218303092
Breast,img_Breast_1_00361.png,0.0,0.08513417497369123,0.0,0.0,0.0,0.0049708604726627645
Breast,img_Breast_1_00478.png,0.1317567541102655,0.4537562777432854,0.0,0.0,0.0,0.06270260256898189
Breast,img_Breast_2_00228.png,0.7389798745767939,0.5332501552234455,1.0,1.0,0.09734439833217058,0.03468446201724465
Breast,img_Breast_1_00450.png,0.8702947153124424,0.6488807680556926,0.0,1.0,0.020393299343358547,0.05737840065636832
Colon,img_Colon_1_01893.png,0.888220809058361,0.6168643683371371,1.0,1.0,0.20917564456976448,0.0159406181533292
Colon,img_Colon_1_01864.png,0.0,0.0,0.0,0.0,0.0,0.0
Colon,img_Colon_1_01507.png,0.5285389328336504,0.31338111921304623,0.0,0.0,0.06686496132458478,0.025859015228969297
Colon,img_Colon_2_02485.png,0.7073609942056513,0.4018664982879836,1.0,1.0,0.07840975419427915,0.264376851891856
Colon,img_Colon_2_01672.png,0.0,0.02222197449028124,0.0,0.0,0.0,0.007632422529746234
Colon,img_Colon_1_02040.png,0.5274473064309411,0.3304805108263732,1.0,1.0,0.08202587392209938,0.02173318753120104
Colon,img_Colon_1_02605.png,0.18301411430858647,0.15986860342125034,1.0,0.0,0.022644138647858535,0.0164305094940563
Colon,img_Colon_2_02434.png,0.6630796749795317,0.3249362419806249,0.0,0.0,0.028178305529339524,0.0064424443385653766
Colon,img_Colon_2_01592.png,0.9895371077026276,0.04574414204324697,1.0,0.0,0.03843031122619346,0.0
Colon,img_Colon_1_01879.png,0.6769912142471994,0.6972688275294908,0.0,1.0,0.1261548912957775,0.015935977730275854
Colon,img_Colon_1_02026.png,0.7610706325599434,0.5951704468324774,1.0,0.0,0.07459032773408322,0.3628419452715216
Colon,img_Colon_2_00851.png,0.0,0.45185365003793476,0.0,0.0,0.0,0.0
